Mapped at 0x7fab9b55f000 (0x4e3f68)
Index	S	r	M	M
0	218	64	243	230
1	245	64	255	233
2	261	61	627	243
3	245	61	194	243
4	276	224	245	243
5	242	64	255	230
6	255	51	242	243
7	245	64	255	230
8	197	61	203	209
9	51	242	194	218
10	64	258	242	240
11	242	64	255	227
12	230	64	252	230
13	245	61	245	230
14	194	61	64	64
15	61	258	67	242
16	255	239	67	64
17	242	64	252	218
18	242	64	258	164
19	218	51	218	230
20	61	51	242	243
21	61	255	242	458
22	245	64	255	227
23	245	64	255	233
24	1012	51	242	240
25	64	255	242	231
26	51	48	239	240
27	246	51	245	243
28	242	61	255	221
29	255	61	242	64
30	242	243	54	245
31	324	51	255	64
32	242	64	258	230
33	255	48	242	240
34	242	64	258	230
35	61	242	242	221
36	48	51	255	230
37	258	51	245	221
38	215	48	242	240
39	258	51	255	64
40	242	246	54	460
41	194	51	239	61
42	242	64	218	243
43	255	51	242	243
44	255	64	239	230
45	51	242	215	227
46	248	61	258	230
47	242	64	252	230
48	245	61	245	63
49	245	61	67	255
50	388	243	54	48
51	242	64	252	221
52	255	51	239	240
53	245	64	255	233
54	64	64	255	230
55	51	124	258	230
56	258	48	242	243
57	242	64	255	230
58	255	51	242	64
59	51	245	255	527
60	64	64	258	230
61	224	64	239	243
62	255	51	242	243
63	255	64	242	51
64	242	243	54	242
65	245	61	224	64
66	245	61	255	227
67	242	64	255	230
68	242	64	228	233
69	64	327	255	230
70	224	61	245	230
71	242	61	215	243
72	242	51	161	61
73	51	258	258	230
74	61	51	239	231
75	255	51	242	240
76	218	64	218	243
77	258	48	245	61
78	245	246	54	657
79	258	48	245	243
80	242	64	252	236
81	255	51	245	243
82	245	64	255	230
83	61	261	221	230
84	242	61	255	227
85	255	51	245	243
86	242	61	215	243
87	64	258	245	243
88	64	61	255	230
89	255	48	242	240
90	242	64	255	233
91	215	64	255	230
92	51	242	252	218
93	258	48	242	230
94	231	48	242	243
95	242	61	215	51
96	197	243	54	245
97	242	237	64	51
98	242	61	242	230
99	242	64	258	230
100	255	51	221	230
101	64	64	255	233
102	61	64	255	233
103	242	61	215	224
104	258	51	242	243
105	245	64	252	51
106	51	242	255	218
107	258	48	242	243
108	255	51	242	243
109	258	51	245	231
110	258	48	51	255
111	242	243	51	51
112	242	51	255	230
113	258	61	242	243
114	245	61	228	227
115	72	48	242	243
116	64	245	255	230
117	242	64	255	230
118	242	51	258	218
119	242	64	258	51
120	242	243	54	245
121	197	64	258	51
122	242	64	255	230
123	258	61	242	230
124	245	64	258	230
125	64	258	242	243
126	245	64	258	230
127	258	51	242	246
128	242	64	255	51
129	255	48	94	51
130	242	233	54	255
131	258	48	245	243
132	242	64	218	1070
133	243	51	215	230
134	227	61	242	230
135	61	255	242	243
136	258	48	242	243
137	245	64	255	230
138	255	51	215	230
139	255	48	242	64
140	255	230	67	258
141	242	64	228	51
142	245	61	258	230
143	218	64	255	242
144	255	64	239	243
145	51	651	255	227
146	215	51	242	243
147	242	51	258	64
148	258	48	242	64
149	218	61	173	64
150	255	230	67	242
151	242	64	255	64
152	258	48	215	227
153	245	64	255	230
154	203	51	242	243
155	64	258	218	227
156	258	64	242	230
157	245	61	242	230
158	255	51	215	64
159	245	230	54	258
160	194	61	242	48
161	258	61	245	218
162	255	51	242	243
163	245	61	255	230
164	48	245	388	231
165	242	64	239	233
166	242	61	255	230
167	245	61	252	236
168	245	64	100	51
169	1149	109	64	64
170	194	64	239	233
171	242	64	221	234
172	242	64	255	230
173	255	51	245	243
174	48	242	255	230
175	258	48	242	243
176	258	64	242	243
177	258	48	242	243
178	258	61	73	51
179	258	230	67	255
180	245	64	255	230
181	224	51	218	230
182	242	64	255	230
183	267	51	439	243
184	48	242	255	230
185	255	51	242	243
186	245	61	242	230
187	245	51	161	61
188	255	230	67	255
189	218	64	258	51
190	255	51	239	221
191	255	51	242	221
192	255	64	242	231
193	64	245	258	230
194	258	51	245	243
195	245	64	258	230
196	245	64	258	230
197	242	64	234	230
198	64	255	245	230
199	242	64	255	230
200	218	51	228	230
201	242	64	255	51
202	255	233	67	218
203	197	61	242	51
204	255	48	242	243
